Reporting level,Province/territory,Indicator,Metric,Data year,Unit of measurement,Indicator result
Provincial,British Columbia,CABG,50th Percentile,2013,Hours,192.0
Provincial,British Columbia,CABG,Volume,2013,Number of cases,995.0
Provincial,British Columbia,Cataract surgery,50th Percentile,2013,Hours,984.0
Provincial,British Columbia,Cataract surgery,Volume,2013,Number of cases,25140.0
Provincial,British Columbia,Colorectal Cancer Surgery,50th Percentile,2013,Hours,384.0
Provincial,British Columbia,Colorectal Cancer Surgery,Volume,2013,Number of cases,1021.0
Provincial,British Columbia,CT Scan,50th Percentile,2013,Hours,528.0
Provincial,British Columbia,CT Scan,Volume,2013,Number of cases,146365.5
Provincial,British Columbia,Hip Fracture Repair,50th Percentile,2013,Hours,26.0
Provincial,British Columbia,Hip Fracture Repair,Volume,2013,Number of cases,2032.0
Provincial,British Columbia,Hip Fracture Repair/Emergency and Inpatient,50th Percentile,2013,Hours,25.108333335
Provincial,British Columbia,Hip Fracture Repair/Emergency and Inpatient,Volume,2013,Number of cases,0.0
Provincial,British Columbia,Hip Replacement,50th Percentile,2013,Hours,2184.0
Provincial,British Columbia,Hip Replacement,Volume,2013,Number of cases,2396.0
Provincial,British Columbia,Knee Replacement,50th Percentile,2013,Hours,2832.0
Provincial,British Columbia,Knee Replacement,Volume,2013,Number of cases,3407.0
Provincial,British Columbia,Lung Cancer Surgery,50th Percentile,2013,Hours,432.0
Provincial,British Columbia,Lung Cancer Surgery,Volume,2013,Number of cases,319.0
Provincial,British Columbia,MRI Scan,50th Percentile,2013,Hours,1140.0
Provincial,British Columbia,MRI Scan,Volume,2013,Number of cases,89661.0
Provincial,British Columbia,Prostate Cancer Surgery,50th Percentile,2013,Hours,864.0
Provincial,British Columbia,Prostate Cancer Surgery,Volume,2013,Number of cases,463.0
Provincial,British Columbia,Radiation Therapy,50th Percentile,2013,Hours,168.0
Provincial,British Columbia,Radiation Therapy,Volume,2013,Number of cases,5827.0
Provincial,Manitoba,Bladder Cancer Surgery,50th Percentile,2013,Hours,600.0
Provincial,Manitoba,Bladder Cancer Surgery,Volume,2013,Number of cases,0.0
Provincial,Manitoba,Breast Cancer Surgery,50th Percentile,2013,Hours,648.0
Provincial,Manitoba,Breast Cancer Surgery,Volume,2013,Number of cases,278.0
Provincial,Manitoba,CABG,50th Percentile,2013,Hours,264.0
Provincial,Manitoba,CABG,Volume,2013,Number of cases,213.0
Provincial,Manitoba,Cataract surgery,50th Percentile,2013,Hours,2064.0
Provincial,Manitoba,Cataract surgery,Volume,2013,Number of cases,4975.0
Provincial,Manitoba,Colorectal Cancer Surgery,50th Percentile,2013,Hours,480.0
Provincial,Manitoba,Colorectal Cancer Surgery,Volume,2013,Number of cases,0.0
Provincial,Manitoba,CT Scan,50th Percentile,2013,Hours,432.0
Provincial,Manitoba,CT Scan,Volume,2013,Number of cases,33268.0
Provincial,Manitoba,Hip Fracture Repair,50th Percentile,2013,Hours,20.0
Provincial,Manitoba,Hip Fracture Repair,Volume,2013,Number of cases,557.0
Provincial,Manitoba,Hip Fracture Repair/Emergency and Inpatient,50th Percentile,2013,Hours,25.108333335
Provincial,Manitoba,Hip Fracture Repair/Emergency and Inpatient,Volume,2013,Number of cases,0.0
Provincial,Manitoba,Hip Replacement,50th Percentile,2013,Hours,2856.0
Provincial,Manitoba,Hip Replacement,Volume,2013,Number of cases,628.0
Provincial,Manitoba,Knee Replacement,50th Percentile,2013,Hours,3768.0
Provincial,Manitoba,Knee Replacement,Volume,2013,Number of cases,1127.0
Provincial,Manitoba,Lung Cancer Surgery,50th Percentile,2013,Hours,456.0
Provincial,Manitoba,Lung Cancer Surgery,Volume,2013,Number of cases,207.0
Provincial,Manitoba,MRI Scan,50th Percentile,2013,Hours,1680.0
Provincial,Manitoba,MRI Scan,Volume,2013,Number of cases,23848.0
Provincial,Manitoba,Prostate Cancer Surgery,50th Percentile,2013,Hours,972.0
Provincial,Manitoba,Prostate Cancer Surgery,Volume,2013,Number of cases,0.0
Provincial,Manitoba,Radiation Therapy,50th Percentile,2013,Hours,168.0
Provincial,Manitoba,Radiation Therapy,Volume,2013,Number of cases,1563.0
Provincial,New Brunswick,Bladder Cancer Surgery,50th Percentile,2013,Hours,408.0
Provincial,New Brunswick,Bladder Cancer Surgery,Volume,2013,Number of cases,236.0
Provincial,New Brunswick,Breast Cancer Surgery,50th Percentile,2013,Hours,192.0
Provincial,New Brunswick,Breast Cancer Surgery,Volume,2013,Number of cases,390.0
Provincial,New Brunswick,CABG,50th Percentile,2013,Hours,96.0
Provincial,New Brunswick,CABG,Volume,2013,Number of cases,228.0
Provincial,New Brunswick,Cataract surgery,50th Percentile,2013,Hours,600.0
Provincial,New Brunswick,Cataract surgery,Volume,2013,Number of cases,5214.0
Provincial,New Brunswick,Colorectal Cancer Surgery,50th Percentile,2013,Hours,312.0
Provincial,New Brunswick,Colorectal Cancer Surgery,Volume,2013,Number of cases,259.0
Provincial,New Brunswick,CT Scan,50th Percentile,2013,Hours,504.0
Provincial,New Brunswick,CT Scan,Volume,2013,Number of cases,0.0
Provincial,New Brunswick,Hip Fracture Repair,50th Percentile,2013,Hours,20.0
Provincial,New Brunswick,Hip Fracture Repair,Volume,2013,Number of cases,355.0
Provincial,New Brunswick,Hip Fracture Repair/Emergency and Inpatient,50th Percentile,2013,Hours,25.108333335
Provincial,New Brunswick,Hip Fracture Repair/Emergency and Inpatient,Volume,2013,Number of cases,0.0
Provincial,New Brunswick,Hip Replacement,50th Percentile,2013,Hours,2616.0
Provincial,New Brunswick,Hip Replacement,Volume,2013,Number of cases,389.0
Provincial,New Brunswick,Knee Replacement,50th Percentile,2013,Hours,3432.0
Provincial,New Brunswick,Knee Replacement,Volume,2013,Number of cases,682.0
Provincial,New Brunswick,Lung Cancer Surgery,50th Percentile,2013,Hours,336.0
Provincial,New Brunswick,Lung Cancer Surgery,Volume,2013,Number of cases,87.0
Provincial,New Brunswick,MRI Scan,50th Percentile,2013,Hours,1152.0
Provincial,New Brunswick,MRI Scan,Volume,2013,Number of cases,0.0
Provincial,New Brunswick,Prostate Cancer Surgery,50th Percentile,2013,Hours,480.0
Provincial,New Brunswick,Prostate Cancer Surgery,Volume,2013,Number of cases,60.0
Provincial,New Brunswick,Radiation Therapy,50th Percentile,2013,Hours,168.0
Provincial,New Brunswick,Radiation Therapy,Volume,2013,Number of cases,1052.0
Provincial,Newfoundland and Labrador,Bladder Cancer Surgery,50th Percentile,2013,Hours,456.0
Provincial,Newfoundland and Labrador,Bladder Cancer Surgery,Volume,2013,Number of cases,117.0
Provincial,Newfoundland and Labrador,Breast Cancer Surgery,50th Percentile,2013,Hours,312.0
Provincial,Newfoundland and Labrador,Breast Cancer Surgery,Volume,2013,Number of cases,153.0
Provincial,Newfoundland and Labrador,CABG,50th Percentile,2013,Hours,216.0
Provincial,Newfoundland and Labrador,CABG,Volume,2013,Number of cases,159.0
Provincial,Newfoundland and Labrador,Cataract surgery,50th Percentile,2013,Hours,840.0
Provincial,Newfoundland and Labrador,Cataract surgery,Volume,2013,Number of cases,1278.0
Provincial,Newfoundland and Labrador,Colorectal Cancer Surgery,50th Percentile,2013,Hours,336.0
Provincial,Newfoundland and Labrador,Colorectal Cancer Surgery,Volume,2013,Number of cases,136.0
Provincial,Newfoundland and Labrador,CT Scan,50th Percentile,2013,Hours,504.0
Provincial,Newfoundland and Labrador,CT Scan,Volume,2013,Number of cases,32867.0
Provincial,Newfoundland and Labrador,Hip Fracture Repair,50th Percentile,2013,Hours,19.0
Provincial,Newfoundland and Labrador,Hip Fracture Repair,Volume,2013,Number of cases,225.5
Provincial,Newfoundland and Labrador,Hip Fracture Repair/Emergency and Inpatient,50th Percentile,2013,Hours,26.0
Provincial,Newfoundland and Labrador,Hip Fracture Repair/Emergency and Inpatient,Volume,2013,Number of cases,217.0
Provincial,Newfoundland and Labrador,Hip Replacement,50th Percentile,2013,Hours,1968.0
Provincial,Newfoundland and Labrador,Hip Replacement,Volume,2013,Number of cases,243.0
Provincial,Newfoundland and Labrador,Knee Replacement,50th Percentile,2013,Hours,1848.0
Provincial,Newfoundland and Labrador,Knee Replacement,Volume,2013,Number of cases,439.0
Provincial,Newfoundland and Labrador,Lung Cancer Surgery,50th Percentile,2013,Hours,456.0
Provincial,Newfoundland and Labrador,Lung Cancer Surgery,Volume,2013,Number of cases,33.0
Provincial,Newfoundland and Labrador,MRI Scan,50th Percentile,2013,Hours,1152.0
Provincial,Newfoundland and Labrador,MRI Scan,Volume,2013,Number of cases,8825.0
Provincial,Newfoundland and Labrador,Prostate Cancer Surgery,50th Percentile,2013,Hours,744.0
Provincial,Newfoundland and Labrador,Prostate Cancer Surgery,Volume,2013,Number of cases,69.0
Provincial,Newfoundland and Labrador,Radiation Therapy,50th Percentile,2013,Hours,336.0
Provincial,Newfoundland and Labrador,Radiation Therapy,Volume,2013,Number of cases,384.0
Provincial,Nova Scotia,Bladder Cancer Surgery,50th Percentile,2013,Hours,984.0
Provincial,Nova Scotia,Bladder Cancer Surgery,Volume,2013,Number of cases,466.0
Provincial,Nova Scotia,Breast Cancer Surgery,50th Percentile,2013,Hours,384.0
Provincial,Nova Scotia,Breast Cancer Surgery,Volume,2013,Number of cases,456.0
Provincial,Nova Scotia,CABG,50th Percentile,2013,Hours,144.0
Provincial,Nova Scotia,CABG,Volume,2013,Number of cases,208.0
Provincial,Nova Scotia,Cataract surgery,50th Percentile,2013,Hours,2232.0
Provincial,Nova Scotia,Cataract surgery,Volume,2013,Number of cases,4089.0
Provincial,Nova Scotia,Colorectal Cancer Surgery,50th Percentile,2013,Hours,576.0
Provincial,Nova Scotia,Colorectal Cancer Surgery,Volume,2013,Number of cases,304.0
Provincial,Nova Scotia,CT Scan,50th Percentile,2013,Hours,456.0
Provincial,Nova Scotia,CT Scan,Volume,2013,Number of cases,32902.0
Provincial,Nova Scotia,Hip Fracture Repair,50th Percentile,2013,Hours,22.0
Provincial,Nova Scotia,Hip Fracture Repair,Volume,2013,Number of cases,448.0
Provincial,Nova Scotia,Hip Fracture Repair/Emergency and Inpatient,50th Percentile,2013,Hours,25.108333335
Provincial,Nova Scotia,Hip Fracture Repair/Emergency and Inpatient,Volume,2013,Number of cases,0.0
Provincial,Nova Scotia,Hip Replacement,50th Percentile,2013,Hours,4344.0
Provincial,Nova Scotia,Hip Replacement,Volume,2013,Number of cases,523.0
Provincial,Nova Scotia,Knee Replacement,50th Percentile,2013,Hours,6528.0
Provincial,Nova Scotia,Knee Replacement,Volume,2013,Number of cases,846.0
Provincial,Nova Scotia,Lung Cancer Surgery,50th Percentile,2013,Hours,696.0
Provincial,Nova Scotia,Lung Cancer Surgery,Volume,2013,Number of cases,100.0
Provincial,Nova Scotia,MRI Scan,50th Percentile,2013,Hours,1056.0
Provincial,Nova Scotia,MRI Scan,Volume,2013,Number of cases,9109.0
Provincial,Nova Scotia,Prostate Cancer Surgery,50th Percentile,2013,Hours,1224.0
Provincial,Nova Scotia,Prostate Cancer Surgery,Volume,2013,Number of cases,102.0
Provincial,Nova Scotia,Radiation Therapy,50th Percentile,2013,Hours,240.0
Provincial,Nova Scotia,Radiation Therapy,Volume,2013,Number of cases,1373.0
Provincial,Ontario,Bladder Cancer Surgery,50th Percentile,2013,Hours,552.0
Provincial,Ontario,Bladder Cancer Surgery,Volume,2013,Number of cases,5856.0
Provincial,Ontario,Breast Cancer Surgery,50th Percentile,2013,Hours,408.0
Provincial,Ontario,Breast Cancer Surgery,Volume,2013,Number of cases,5830.0
Provincial,Ontario,CABG,50th Percentile,2013,Hours,168.0
Provincial,Ontario,CABG,Volume,2013,Number of cases,3047.0
Provincial,Ontario,Cataract surgery,50th Percentile,2013,Hours,1200.0
Provincial,Ontario,Cataract surgery,Volume,2013,Number of cases,65873.0
Provincial,Ontario,Colorectal Cancer Surgery,50th Percentile,2013,Hours,432.0
Provincial,Ontario,Colorectal Cancer Surgery,Volume,2013,Number of cases,2755.0
Provincial,Ontario,CT Scan,50th Percentile,2013,Hours,168.0
Provincial,Ontario,CT Scan,Volume,2013,Number of cases,364295.0
Provincial,Ontario,Hip Fracture Repair,50th Percentile,2013,Hours,24.0
Provincial,Ontario,Hip Fracture Repair,Volume,2013,Number of cases,5498.0
Provincial,Ontario,Hip Fracture Repair/Emergency and Inpatient,50th Percentile,2013,Hours,29.0
Provincial,Ontario,Hip Fracture Repair/Emergency and Inpatient,Volume,2013,Number of cases,4975.0
Provincial,Ontario,Hip Replacement,50th Percentile,2013,Hours,1680.0
Provincial,Ontario,Hip Replacement,Volume,2013,Number of cases,7093.0
Provincial,Ontario,Knee Replacement,50th Percentile,2013,Hours,1896.0
Provincial,Ontario,Knee Replacement,Volume,2013,Number of cases,12499.0
Provincial,Ontario,Lung Cancer Surgery,50th Percentile,2013,Hours,456.0
Provincial,Ontario,Lung Cancer Surgery,Volume,2013,Number of cases,1540.0
Provincial,Ontario,MRI Scan,50th Percentile,2013,Hours,552.0
Provincial,Ontario,MRI Scan,Volume,2013,Number of cases,291633.0
Provincial,Ontario,Prostate Cancer Surgery,50th Percentile,2013,Hours,840.0
Provincial,Ontario,Prostate Cancer Surgery,Volume,2013,Number of cases,1545.0
Provincial,Ontario,Radiation Therapy,50th Percentile,2013,Hours,144.0
Provincial,Ontario,Radiation Therapy,Volume,2013,Number of cases,15186.0
Provincial,Prince Edward Island,Bladder Cancer Surgery,50th Percentile,2013,Hours,576.0
Provincial,Prince Edward Island,Bladder Cancer Surgery,Volume,2013,Number of cases,41.0
Provincial,Prince Edward Island,Breast Cancer Surgery,50th Percentile,2013,Hours,432.0
Provincial,Prince Edward Island,Breast Cancer Surgery,Volume,2013,Number of cases,46.0
Provincial,Prince Edward Island,CABG,50th Percentile,2013,Hours,191.76
Provincial,Prince Edward Island,CABG,Volume,2013,Number of cases,0.0
Provincial,Prince Edward Island,Cataract surgery,50th Percentile,2013,Hours,2359.2
Provincial,Prince Edward Island,Cataract surgery,Volume,2013,Number of cases,539.0
Provincial,Prince Edward Island,Colorectal Cancer Surgery,50th Percentile,2013,Hours,480.0
Provincial,Prince Edward Island,Colorectal Cancer Surgery,Volume,2013,Number of cases,48.0
Provincial,Prince Edward Island,CT Scan,50th Percentile,2013,Hours,552.0
Provincial,Prince Edward Island,CT Scan,Volume,2013,Number of cases,3176.0
Provincial,Prince Edward Island,Hip Fracture Repair,50th Percentile,2013,Hours,31.0
Provincial,Prince Edward Island,Hip Fracture Repair,Volume,2013,Number of cases,99.0
Provincial,Prince Edward Island,Hip Fracture Repair/Emergency and Inpatient,50th Percentile,2013,Hours,23.0
Provincial,Prince Edward Island,Hip Fracture Repair/Emergency and Inpatient,Volume,2013,Number of cases,81.0
Provincial,Prince Edward Island,Hip Replacement,50th Percentile,2013,Hours,2904.0
Provincial,Prince Edward Island,Hip Replacement,Volume,2013,Number of cases,78.0
Provincial,Prince Edward Island,Knee Replacement,50th Percentile,2013,Hours,3552.0
Provincial,Prince Edward Island,Knee Replacement,Volume,2013,Number of cases,173.0
Provincial,Prince Edward Island,Lung Cancer Surgery,50th Percentile,2013,Hours,528.0
Provincial,Prince Edward Island,Lung Cancer Surgery,Volume,2013,Number of cases,0.0
Provincial,Prince Edward Island,MRI Scan,50th Percentile,2013,Hours,1392.0
Provincial,Prince Edward Island,MRI Scan,Volume,2013,Number of cases,2092.0
Provincial,Prince Edward Island,Prostate Cancer Surgery,50th Percentile,2013,Hours,1296.0
Provincial,Prince Edward Island,Prostate Cancer Surgery,Volume,2013,Number of cases,7.0
Provincial,Prince Edward Island,Radiation Therapy,50th Percentile,2013,Hours,360.0
Provincial,Prince Edward Island,Radiation Therapy,Volume,2013,Number of cases,216.0
Provincial,Quebec,Bladder Cancer Surgery,50th Percentile,2013,Hours,672.0
Provincial,Quebec,Bladder Cancer Surgery,Volume,2013,Number of cases,2639.0
Provincial,Quebec,Breast Cancer Surgery,50th Percentile,2013,Hours,480.0
Provincial,Quebec,Breast Cancer Surgery,Volume,2013,Number of cases,4286.0
Provincial,Quebec,CABG,50th Percentile,2013,Hours,191.76
Provincial,Quebec,CABG,Volume,2013,Number of cases,2482.0
Provincial,Quebec,Cataract surgery,50th Percentile,2013,Hours,744.0
Provincial,Quebec,Cataract surgery,Volume,2013,Number of cases,48965.0
Provincial,Quebec,Colorectal Cancer Surgery,50th Percentile,2013,Hours,480.0
Provincial,Quebec,Colorectal Cancer Surgery,Volume,2013,Number of cases,2329.0
Provincial,Quebec,CT Scan,50th Percentile,2013,Hours,504.0
Provincial,Quebec,CT Scan,Volume,2013,Number of cases,0.0
Provincial,Quebec,Hip Fracture Repair,50th Percentile,2013,Hours,22.0
Provincial,Quebec,Hip Fracture Repair,Volume,2013,Number of cases,0.0
Provincial,Quebec,Hip Fracture Repair/Emergency and Inpatient,50th Percentile,2013,Hours,25.108333335
Provincial,Quebec,Hip Fracture Repair/Emergency and Inpatient,Volume,2013,Number of cases,0.0
Provincial,Quebec,Hip Replacement,50th Percentile,2013,Hours,2040.0
Provincial,Quebec,Hip Replacement,Volume,2013,Number of cases,3021.0
Provincial,Quebec,Knee Replacement,50th Percentile,2013,Hours,2304.0
Provincial,Quebec,Knee Replacement,Volume,2013,Number of cases,4766.0
Provincial,Quebec,Lung Cancer Surgery,50th Percentile,2013,Hours,480.0
Provincial,Quebec,Lung Cancer Surgery,Volume,2013,Number of cases,1305.0
Provincial,Quebec,MRI Scan,50th Percentile,2013,Hours,1152.0
Provincial,Quebec,MRI Scan,Volume,2013,Number of cases,0.0
Provincial,Quebec,Prostate Cancer Surgery,50th Percentile,2013,Hours,936.0
Provincial,Quebec,Prostate Cancer Surgery,Volume,2013,Number of cases,1121.0
Provincial,Quebec,Radiation Therapy,50th Percentile,2013,Hours,235.20000000000002
Provincial,Quebec,Radiation Therapy,Volume,2013,Number of cases,11691.0
Provincial,Saskatchewan,Bladder Cancer Surgery,50th Percentile,2013,Hours,384.0
Provincial,Saskatchewan,Bladder Cancer Surgery,Volume,2013,Number of cases,229.0
Provincial,Saskatchewan,Breast Cancer Surgery,50th Percentile,2013,Hours,408.0
Provincial,Saskatchewan,Breast Cancer Surgery,Volume,2013,Number of cases,344.0
Provincial,Saskatchewan,CABG,50th Percentile,2013,Hours,72.0
Provincial,Saskatchewan,CABG,Volume,2013,Number of cases,253.0
Provincial,Saskatchewan,Cataract surgery,50th Percentile,2013,Hours,1608.0
Provincial,Saskatchewan,Cataract surgery,Volume,2013,Number of cases,3573.0
Provincial,Saskatchewan,Colorectal Cancer Surgery,50th Percentile,2013,Hours,336.0
Provincial,Saskatchewan,Colorectal Cancer Surgery,Volume,2013,Number of cases,282.0
Provincial,Saskatchewan,CT Scan,50th Percentile,2013,Hours,312.0
Provincial,Saskatchewan,CT Scan,Volume,2013,Number of cases,12148.0
Provincial,Saskatchewan,Hip Fracture Repair,50th Percentile,2013,Hours,24.0
Provincial,Saskatchewan,Hip Fracture Repair,Volume,2013,Number of cases,424.0
Provincial,Saskatchewan,Hip Fracture Repair/Emergency and Inpatient,50th Percentile,2013,Hours,25.108333335
Provincial,Saskatchewan,Hip Fracture Repair/Emergency and Inpatient,Volume,2013,Number of cases,0.0
Provincial,Saskatchewan,Hip Replacement,50th Percentile,2013,Hours,2376.0
Provincial,Saskatchewan,Hip Replacement,Volume,2013,Number of cases,782.0
Provincial,Saskatchewan,Knee Replacement,50th Percentile,2013,Hours,3072.0
Provincial,Saskatchewan,Knee Replacement,Volume,2013,Number of cases,1501.0
Provincial,Saskatchewan,Lung Cancer Surgery,50th Percentile,2013,Hours,168.0
Provincial,Saskatchewan,Lung Cancer Surgery,Volume,2013,Number of cases,72.0
Provincial,Saskatchewan,MRI Scan,50th Percentile,2013,Hours,672.0
Provincial,Saskatchewan,MRI Scan,Volume,2013,Number of cases,12100.0
Provincial,Saskatchewan,Prostate Cancer Surgery,50th Percentile,2013,Hours,1224.0
Provincial,Saskatchewan,Prostate Cancer Surgery,Volume,2013,Number of cases,108.0
Provincial,Saskatchewan,Radiation Therapy,50th Percentile,2013,Hours,120.0
Provincial,Saskatchewan,Radiation Therapy,Volume,2013,Number of cases,1029.0
Provincial,Alberta,Bladder Cancer Surgery,50th Percentile,2014,Hours,696.0
Provincial,Alberta,Bladder Cancer Surgery,Volume,2014,Number of cases,488.0
Provincial,Alberta,Breast Cancer Surgery,50th Percentile,2014,Hours,480.0
Provincial,Alberta,Breast Cancer Surgery,Volume,2014,Number of cases,1169.0
Provincial,Alberta,CABG,50th Percentile,2014,Hours,144.0
Provincial,Alberta,CABG,Volume,2014,Number of cases,542.0
Provincial,Alberta,Cataract surgery,50th Percentile,2014,Hours,1752.0
Provincial,Alberta,Cataract surgery,Volume,2014,Number of cases,11348.0
Provincial,Alberta,Colorectal Cancer Surgery,50th Percentile,2014,Hours,576.0
Provincial,Alberta,Colorectal Cancer Surgery,Volume,2014,Number of cases,518.0
Provincial,Alberta,CT Scan,50th Percentile,2014,Hours,288.0
Provincial,Alberta,CT Scan,Volume,2014,Number of cases,67521.0
Provincial,Alberta,Hip Fracture Repair,50th Percentile,2014,Hours,23.0
Provincial,Alberta,Hip Fracture Repair,Volume,2014,Number of cases,1373.0
Provincial,Alberta,Hip Fracture Repair/Emergency and Inpatient,50th Percentile,2014,Hours,30.0
Provincial,Alberta,Hip Fracture Repair/Emergency and Inpatient,Volume,2014,Number of cases,1238.0
Provincial,Alberta,Hip Replacement,50th Percentile,2014,Hours,2160.0
Provincial,Alberta,Hip Replacement,Volume,2014,Number of cases,1890.0
Provincial,Alberta,Knee Replacement,50th Percentile,2014,Hours,2376.0
Provincial,Alberta,Knee Replacement,Volume,2014,Number of cases,2922.0
Provincial,Alberta,Lung Cancer Surgery,50th Percentile,2014,Hours,840.0
Provincial,Alberta,Lung Cancer Surgery,Volume,2014,Number of cases,259.0
Provincial,Alberta,MRI Scan,50th Percentile,2014,Hours,1440.0
Provincial,Alberta,MRI Scan,Volume,2014,Number of cases,61371.0
Provincial,Alberta,Prostate Cancer Surgery,50th Percentile,2014,Hours,936.0
Provincial,Alberta,Prostate Cancer Surgery,Volume,2014,Number of cases,567.0
Provincial,Alberta,Radiation Therapy,50th Percentile,2014,Hours,168.0
Provincial,Alberta,Radiation Therapy,Volume,2014,Number of cases,3732.0
Provincial,British Columbia,Bladder Cancer Surgery,50th Percentile,2014,Hours,528.0
Provincial,British Columbia,Bladder Cancer Surgery,Volume,2014,Number of cases,1570.0
Provincial,British Columbia,Breast Cancer Surgery,50th Percentile,2014,Hours,384.0
Provincial,British Columbia,Breast Cancer Surgery,Volume,2014,Number of cases,1825.0
Provincial,British Columbia,CABG,50th Percentile,2014,Hours,144.0
Provincial,British Columbia,CABG,Volume,2014,Number of cases,1028.0
Provincial,British Columbia,Cataract surgery,50th Percentile,2014,Hours,1440.0
Provincial,British Columbia,Cataract surgery,Volume,2014,Number of cases,25397.0
Provincial,British Columbia,Colorectal Cancer Surgery,50th Percentile,2014,Hours,480.0
Provincial,British Columbia,Colorectal Cancer Surgery,Volume,2014,Number of cases,1211.0
Provincial,British Columbia,CT Scan,50th Percentile,2014,Hours,528.0
Provincial,British Columbia,CT Scan,Volume,2014,Number of cases,146365.5
Provincial,British Columbia,Hip Fracture Repair,50th Percentile,2014,Hours,25.0
Provincial,British Columbia,Hip Fracture Repair,Volume,2014,Number of cases,2045.0
Provincial,British Columbia,Hip Fracture Repair/Emergency and Inpatient,50th Percentile,2014,Hours,25.108333335
Provincial,British Columbia,Hip Fracture Repair/Emergency and Inpatient,Volume,2014,Number of cases,0.0
Provincial,British Columbia,Hip Replacement,50th Percentile,2014,Hours,3024.0
Provincial,British Columbia,Hip Replacement,Volume,2014,Number of cases,2581.0
Provincial,British Columbia,Knee Replacement,50th Percentile,2014,Hours,3840.0
Provincial,British Columbia,Knee Replacement,Volume,2014,Number of cases,3588.0
Provincial,British Columbia,Lung Cancer Surgery,50th Percentile,2014,Hours,480.0
Provincial,British Columbia,Lung Cancer Surgery,Volume,2014,Number of cases,405.0
Provincial,British Columbia,MRI Scan,50th Percentile,2014,Hours,1140.0
Provincial,British Columbia,MRI Scan,Volume,2014,Number of cases,89661.0
Provincial,British Columbia,Prostate Cancer Surgery,50th Percentile,2014,Hours,696.0
Provincial,British Columbia,Prostate Cancer Surgery,Volume,2014,Number of cases,423.0
Provincial,British Columbia,Radiation Therapy,50th Percentile,2014,Hours,168.0
Provincial,British Columbia,Radiation Therapy,Volume,2014,Number of cases,6175.0
Provincial,Manitoba,Bladder Cancer Surgery,50th Percentile,2014,Hours,600.0
Provincial,Manitoba,Bladder Cancer Surgery,Volume,2014,Number of cases,0.0
Provincial,Manitoba,Breast Cancer Surgery,50th Percentile,2014,Hours,528.0
Provincial,Manitoba,Breast Cancer Surgery,Volume,2014,Number of cases,252.0
Provincial,Manitoba,CABG,50th Percentile,2014,Hours,288.0
Provincial,Manitoba,CABG,Volume,2014,Number of cases,203.0
Provincial,Manitoba,Cataract surgery,50th Percentile,2014,Hours,1872.0
Provincial,Manitoba,Cataract surgery,Volume,2014,Number of cases,4292.0
Provincial,Manitoba,Colorectal Cancer Surgery,50th Percentile,2014,Hours,480.0
Provincial,Manitoba,Colorectal Cancer Surgery,Volume,2014,Number of cases,0.0
